Models,h=0,h=1,h=2,h=3,h=4,,Execution Time (in ms)
RW,1.070,1.029,1.014,1.006,1.003,,0.00
AR(4),NaN,NaN,NaN,NaN,NaN,,0.00
AR(BIC),1.029,1.023,1.016,1.009,1.006,,0.00
AR(KFold),1.007,1.041,1.056,1.099,1.163,,0.01
FAR(BIC),1.035,1.008,1.011,1.027,1.080,,0.21
"FAR(1,4)",1.802,1.722,1.708,1.734,1.902,,0.01
B-QF-BaiNg,1.089,1.042,1.042,1.039,1.024,,0.08
C-QF-BaiNg,1.054,1.062,1.042,1.061,1.052,,0.25
B-MF-Lags,1.087,1.073,1.048,1.000,1.006,,0.09
B-MF-LeadsLags1,0.984,1.081,1.053,1.010,1.006,,0.10
B-MF-LeadsLags2,0.917,1.057,1.042,1.046,1.009,,0.09
C-MF-Lags,1.060,1.062,1.054,1.018,1.011,,0.50
C-MF-LeadsLags2,0.890,1.042,1.011,1.039,1.010,,1.81
BVAR-Minn-21Xs,1.081,1.155,1.159,1.186,1.211,,20.73
BVAR-NCP-21Xs,1.125,1.168,1.166,1.169,1.186,,9.18
BVAR-CSV-21Xs,1.060,1.082,1.064,1.080,1.101,,45.82
BVAR-CSVt-21Xs,1.061,1.088,1.078,1.098,1.124,,53.08
Lasso.BIC-D2,1.031,1.289,1.457,1.633,1.791,,0.47
Ridge.BIC-D2,0.917,1.030,1.132,1.167,1.203,,0.57
EN(0.5).BIC-D2,0.985,1.178,1.224,1.547,1.670,,0.34
EN(grid).BIC-D2,1.036,1.303,1.452,1.630,1.791,,3.46
Lasso.CVmse.p1se-D2,0.962,1.045,1.023,1.012,1.004,,3.90
Ridge.CVmse.p1se-D2,0.946,1.022,1.021,1.008,1.003,,6.14
EN(0.5).CVmse.p1se-D2,0.964,1.047,1.021,1.015,1.002,,3.56
EN(grid).CVmse.p1se-D2,0.955,1.046,1.023,1.014,1.002,,33.37
EN(grid).CVmae.p1se-D2,0.952,1.045,1.024,1.011,1.002,,33.51
EN(grid).OOSmse.p1se-D2,1.074,1.035,1.019,1.009,1.003,,106.43
EN(grid).CVmse.min-D2,0.984,1.056,1.082,1.090,1.093,,33.51
SCAD.BIC-D2,1.056,1.166,1.186,1.367,1.391,,43.55
Power.EBC-D2,0.969,1.089,1.152,1.222,1.246,,45.80
SCAD.CVmse.p1se-D2,0.959,1.046,1.025,1.032,1.003,,997.06
Power.CVmse.p1se-D2,0.959,1.048,1.018,1.013,1.004,,890.46
Lasso.BIC-D1,1.176,1.349,1.590,1.629,1.830,,0.31
Ridge.BIC-D1,1.003,1.097,1.218,1.290,1.424,,0.38
EN(0.5).BIC-D1,1.075,1.042,1.057,1.131,1.224,,0.27
EN(grid).BIC-D1,1.187,1.348,1.590,1.631,1.829,,2.75
