Dataset,Freq,RDelay,SeriesID,Title,CategoryMain,Units
FRED-MD,M,7,CES0600000008,"Avg Hourly Earnings : Goods-Producing","Earnings & Productivity","Dollars per Hour"
FRED-MD,M,7,CES2000000008,"Avg Hourly Earnings : Construction","Earnings & Productivity","Dollars per Hour"
FRED-MD,M,7,CES3000000008,"Avg Hourly Earnings : Manufacturing","Earnings & Productivity","Dollars per Hour"
FRED-MD,M,3,EXCAUSx,"Canada / U.S. Foreign Exchange Rate","Exchange Rates","Canadian Dollars to One U.S. Dollar"
FRED-MD,M,3,EXJPUSx,"Japan / U.S. Foreign Exchange Rate","Exchange Rates","Japanese Yen to One U.S. Dollar"
FRED-MD,M,3,EXSZUSx,"Switzerland / U.S. Foreign Exchange Rate","Exchange Rates","Swiss Francs to One U.S. Dollar"
FRED-MD,M,3,EXUSUKx,"U.S. / U.K. Foreign Exchange Rate","Exchange Rates","U.S. Dollars to One British Pound"
FRED-MD,M,3,TWEXAFEGSMTHx,"Trade Weighted U.S. Dollar Index","Exchange Rates","Index Jan 2006=100"
FRED-QD2MD,M,3,EXUSEU,"U.S. / Euro Foreign Exchange Rate (U.S. Dollars to One Euro)","Exchange Rates","U.S. Dollars to One Euro"
FRED-MD,M,37,CONSPI,"Nonrevolving consumer credit to Personal Income","Household Balance Sheets","Billions of Dollars"
FRED-MD,M,18,HOUST,"Housing Starts: Total New Privately Owned","Housing","Thousands of Units"
FRED-MD,M,18,HOUSTMW,"Housing Starts, Midwest","Housing","Thousands of Units"
FRED-MD,M,18,HOUSTNE,"Housing Starts, Northeast","Housing","Thousands of Units"
FRED-MD,M,18,HOUSTS,"Housing Starts, South","Housing","Thousands of Units"
FRED-MD,M,18,HOUSTW,"Housing Starts, West","Housing","Thousands of Units"
FRED-MD,M,25,PERMIT,"New Private Housing Permits (SAAR)","Housing","Thousands of Units"
FRED-MD,M,18,PERMITMW,"New Private Housing Permits, Midwest (SAAR)","Housing","Thousands of Units"
FRED-MD,M,18,PERMITNE,"New Private Housing Permits, Northeast (SAAR)","Housing","Thousands of Units"
FRED-MD,M,25,PERMITS,"New Private Housing Permits, South (SAAR)","Housing","Thousands of Units"
FRED-MD,M,25,PERMITW,"New Private Housing Permits, West (SAAR)","Housing","Thousands of Units"
FRED-QD2MD,M,18,HOUST5F,"Privately Owned Housing Starts: 5-Unit Structures or More (Thousands of Units)","Housing","Thousands of Units"
FRED-QD2MD,M,55,SPCS10RSA,"S&P/Case-Shiller 10-City Composite Home Price Index (Index January 2000 = 100)","Housing","Index Jan 2000=100"
FRED-QD2MD,M,55,SPCS20RSA,"S&P/Case-Shiller 20-City Composite Home Price Index (Index January 2000 = 100)","Housing","Index Jan 2000=100"
FRED-MD,M,14,CUMFNS,"Capacity Utilization: Manufacturing","Industrial Production","Percent of Capacity"
FRED-MD,M,14,INDPRO,"IP: Index","Industrial Production","Index 2012=100"
FRED-MD,M,14,IPB51222S,"IP: Residential Utilities","Industrial Production","Index 2012=100"
FRED-MD,M,14,IPBUSEQ,"IP: Business Equipment","Industrial Production","Index 2012=100"
FRED-MD,M,14,IPCONGD,"IP: Consumer Goods","Industrial Production","Index 2012=100"
FRED-MD,M,14,IPDCONGD,"IP: Durable Consumer Goods","Industrial Production","Index 2012=100"
FRED-MD,M,14,IPDMAT,"IP: Durable Materials","Industrial Production","Index 2012=100"
FRED-MD,M,14,IPFINAL,"IP: Final Products (Market Group)","Industrial Production","Index 2012=100"
FRED-MD,M,14,IPFUELS,"IP: Fuels","Industrial Production","Index 2012=100"
FRED-MD,M,14,IPMANSICS,"IP: Manufacturing (SIC)","Industrial Production","Index 2012=100"
FRED-MD,M,14,IPMAT,"IP: Materials","Industrial Production","Index 2012=100"
FRED-MD,M,14,IPNCONGD,"IP: Nondurable Consumer Goods","Industrial Production","Index 2012=100"
FRED-MD,M,14,IPNMAT,"IP: Nondurable Materials","Industrial Production","Index 2012=100"
FRED-QD2MD,M,14,TCU,"Capacity Utilization: Total Industry (Percent of Capacity)","Industrial Production","Percent of Capacity"
FRED-MD,M,3,AAA,"Moody's Seasoned Aaa Corporate Bond Yield","Interest Rates","Percent"
FRED-MD,M,3,AAAFFM,"Moody's Aaa Corporate Bond Minus FEDFUNDS","Interest Rates","Percent"
FRED-MD,M,3,BAA,"Moody's Seasoned Baa Corporate Bond Yield","Interest Rates","Percent"
FRED-MD,M,3,BAAFFM,"Moody's Baa Corporate Bond Minus FEDFUNDS","Interest Rates","Percent"
FRED-MD,M,3,COMPAPFFx,"3-Month Commercial Paper Minus FEDFUNDS","Interest Rates","Percent"
FRED-MD,M,3,CP3Mx,"3-Month AA Financial Commercial Paper Rate","Interest Rates","Percent"
FRED-MD,M,3,FEDFUNDS,"Effective Federal Funds Rate","Interest Rates","Percent"
FRED-MD,M,3,GS1,"1-Year Treasury Rate","Interest Rates","Percent"
FRED-MD,M,3,GS10,"10-Year Treasury Rate","Interest Rates","Percent"
FRED-MD,M,3,GS5,"5-Year Treasury Rate","Interest Rates","Percent"
FRED-MD,M,3,T10YFFM,"10-Year Treasury C Minus FEDFUNDS","Interest Rates","Percent"
FRED-MD,M,3,T1YFFM,"1-Year Treasury C Minus FEDFUNDS","Interest Rates","Percent"
FRED-MD,M,3,T5YFFM,"5-Year Treasury C Minus FEDFUNDS","Interest Rates","Percent"
FRED-MD,M,3,TB3MS,"3-Month Treasury Bill:","Interest Rates","Percent"
FRED-MD,M,3,TB3SMFFM,"3-Month Treasury C Minus FEDFUNDS","Interest Rates","Percent"
FRED-MD,M,3,TB6MS,"6-Month Treasury Bill:","Interest Rates","Percent"
FRED-MD,M,3,TB6SMFFM,"6-Month Treasury C Minus FEDFUNDS","Interest Rates","Percent"
